"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","21","1"
"Albania","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","69","1"
"Algeria","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","61","2"
"Angola","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","6","2"
"Argentina","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","78","2"
"Armenia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","55","1"
"Australia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","71","2"
"Azerbaijan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","51","2"
"Bahamas","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","45","2"
"Bangladesh","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","61","1"
"Belarus","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","73","2"
"Belgium","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","75","2"
"Belize","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","34","2"
"Benin","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","13","1"
"Bhutan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","66","1"
"Bolivia (Plurinational State of)","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","61","1"
"Bosnia and Herzegovina","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","36","2"
"Botswana","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","53","1"
"Brazil","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","81","2"
"Burkina Faso","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","16","1"
"Burundi","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","22","1"
"Cambodia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","51","1"
"Cameroon","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","23","1"
"Canada","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","74","2"
"Cape Verde","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","61","2"
"CEE/CIS","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","73","3"
"Central African Republic","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","15","1"
"Chad","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","5","1"
"Chile","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","58","2"
"China","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","85","2"
"Colombia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","79","1"
"Comoros","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","26","2"
"Congo","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","45","1"
"Cook Islands","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","29","1"
"Costa Rica","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","82","1"
"C̫te d'Ivoire","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","18","1"
"Cuba","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","74","1"
"Democratic People's Republic of Korea","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","69","2"
"Democratic Republic of the Congo","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","17","1"
"Djibouti","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","23","1"
"Dominican Republic","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","73","1"
"East Asia and Pacific","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","64","4"
"Eastern and Southern Africa","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","34","3"
"Ecuador","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","73","2"
"Egypt","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","60","1"
"El Salvador","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","73","1"
"Equatorial Guinea","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","10","2"
"Eritrea","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","8","2"
"Ethiopia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","29","1"
"Fiji","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","32","1"
"France","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","71","2"
"Gabon","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","33","2"
"Gambia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","13","1"
"Georgia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","53","1"
"Ghana","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","34","1"
"Greece","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","76","2"
"Grenada","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","54","2"
"Guatemala","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","54","1"
"Guinea","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","9","2"
"Guinea-Bissau","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","14","1"
"Guyana","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","43","1"
"Haiti","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","32","2"
"Honduras","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","65","2"
"India","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","55","1"
"Indonesia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","61","1"
"Iran (Islamic Republic of)","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","79","2"
"Iraq","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","50","2"
"Ireland","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","65","2"
"Jamaica","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","72","1"
"Japan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","54","2"
"Jordan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","59","1"
"Kazakhstan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","51","2"
"Kenya","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","46","1"
"Kiribati","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","22","1"
"Kyrgyzstan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","48","2"
"Lao People's Democratic Republic","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","38","2"
"Least Developed Countries/Territories","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","35","3"
"Lebanon","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","54","1"
"Lesotho","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","47","1"
"Liberia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","11","1"
"Madagascar","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","40","1"
"Malawi","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","46","1"
"Maldives","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","35","1"
"Mali","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","8","2"
"Marshall Islands","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","45","1"
